collection_date	Library_Name	inoculum	response	DNR	TNBS	AOMDSS	DSS
ERR1897849	2015-10-07 10:00	10902.A1.F	A	0	0	0	0	0
ERR1897851	2015-10-07 10:00	10902.A2.F	A	0	0	0	0	0
ERR1897853	2015-10-07 10:00	10902.A3.F	A	0	0	0	0	0
ERR1897855	2015-10-07 10:00	10902.A4.F	A	0	0	0	0	0
ERR1897857	2015-10-07 10:00	10902.A5.F	A	0	0	0	0	0
ERR1897859	2015-10-07 10:00	10902.A6.F	A	0	0	0	0	0
ERR1897861	2015-10-07 10:00	10902.A7.F	A	0	0	0	0	0
ERR1897863	2015-10-07 10:00	10902.A8.F	A	0	0	0	0	0
ERR1897865	2015-10-07 10:00	10902.A9.F	A	0	0	0	0	0
ERR1897867	2015-10-07 10:00	10902.B1.F	B	1	0	0	1	0
ERR1897869	2015-10-07 10:00	10902.B10.F	B	1	0	0	1	0
ERR1897871	2015-10-07 10:00	10902.B11.F	B	1	0	0	1	0
ERR1897873	2015-10-07 10:00	10902.B12.F	B	1	0	0	1	0
ERR1897875	2015-10-07 10:00	10902.B2.F	B	1	0	0	1	0
ERR1897877	2015-10-07 10:00	10902.B3.F	B	1	0	0	1	0
ERR1897879	2015-10-07 10:00	10902.B4.F	B	1	0	0	1	0
ERR1897881	2015-10-07 10:00	10902.B5.F	B	1	0	0	1	0
ERR1897883	2015-10-07 10:00	10902.B6.F	B	1	0	0	1	0
ERR1897885	2015-10-07 10:00	10902.B7.F	B	1	0	0	1	0
ERR1897887	2015-10-07 10:00	10902.B8.F	B	1	0	0	1	0
ERR1897888	2015-10-07 10:00	10902.B9.F	B	1	0	0	1	0
ERR1897890	2015-10-07 10:00	10902.F1.F	F	1	0	0	1	0
ERR1897892	2015-10-07 10:00	10902.F10.F	F	1	0	0	1	0
ERR1897894	2015-10-07 10:00	10902.F2.F	F	1	0	0	1	0
ERR1897896	2015-10-07 10:00	10902.F3.F	F	1	0	0	1	0
ERR1897897	2015-10-07 10:00	10902.F4.F	F	1	0	0	1	0
ERR1897899	2015-10-07 10:00	10902.F5.F	F	1	0	0	1	0
ERR1897901	2015-10-07 10:00	10902.F6.F	F	1	0	0	1	0
ERR1897903	2015-10-07 10:00	10902.F8.F	F	1	0	0	1	0
ERR1897905	2015-10-07 10:00	10902.F9.F	F	1	0	0	1	0
ERR1897907	2015-10-07 10:00	10902.G1.F	G	1	0	0	1	0
ERR1897909	2015-10-07 10:00	10902.G2.F	G	1	0	0	1	0
ERR1897911	2015-10-07 10:00	10902.G3.F	G	1	0	0	1	0
ERR1897913	2015-10-07 10:00	10902.G4.F	G	1	0	0	1	0
ERR1897915	2015-10-07 10:00	10902.G5.F	G	1	0	0	1	0
ERR1897917	2015-10-07 10:00	10902.G6.F	G	1	0	0	1	0
ERR1897919	2015-10-07 10:00	10902.G7.F	G	1	0	0	1	0
ERR1897921	2015-10-07 10:00	10902.G8.F	G	1	0	0	1	0
ERR1897923	2015-10-07 10:00	10902.G9.F	G	1	0	0	1	0
